Ensembl_Gene_ID	Group
ENSDARG00000071046	Top_Maternal_Decay
ENSDARG00000071046	Top_Maternal_Decay
ENSDARG00000071116	Top_Maternal_Decay
ENSDARG00000071213	Top_Maternal_Decay
ENSDARG00000071213	Top_Maternal_Decay
ENSDARG00000071213	Top_Maternal_Decay
ENSDARG00000071213	Top_Maternal_Decay
ENSDARG00000071594	Top_Maternal_Decay
ENSDARG00000071872	Top_Maternal_Decay
ENSDARG00000071872	Top_Maternal_Decay
ENSDARG00000071872	Top_Maternal_Decay
ENSDARG00000073787	Top_Maternal_Decay
ENSDARG00000073961	Top_Maternal_Decay
ENSDARG00000073961	Top_Maternal_Decay
ENSDARG00000074379	Top_Maternal_Decay
ENSDARG00000074575	Top_Maternal_Decay
ENSDARG00000074575	Top_Maternal_Decay
ENSDARG00000074575	Top_Maternal_Decay
ENSDARG00000074656	Top_Maternal_Decay
ENSDARG00000074656	Top_Maternal_Decay
ENSDARG00000074779	Top_Maternal_Decay
ENSDARG00000074779	Top_Maternal_Decay
ENSDARG00000075416	Top_Maternal_Decay
ENSDARG00000075528	Top_Maternal_Decay
ENSDARG00000075621	Top_Maternal_Decay
ENSDARG00000075685	Top_Maternal_Decay
ENSDARG00000075725	Top_Maternal_Decay
ENSDARG00000075725	Top_Maternal_Decay
ENSDARG00000075883	Top_Maternal_Decay
ENSDARG00000075883	Top_Maternal_Decay
ENSDARG00000075906	Top_Maternal_Decay
ENSDARG00000075933	Top_Maternal_Decay
ENSDARG00000075933	Top_Maternal_Decay
ENSDARG00000075984	Top_Maternal_Decay
ENSDARG00000076004	Top_Maternal_Decay
ENSDARG00000076004	Top_Maternal_Decay
ENSDARG00000076004	Top_Maternal_Decay
ENSDARG00000076073	Top_Maternal_Decay
ENSDARG00000076144	Top_Maternal_Decay
ENSDARG00000076144	Top_Maternal_Decay
ENSDARG00000076228	Top_Maternal_Decay
ENSDARG00000076228	Top_Maternal_Decay
ENSDARG00000076228	Top_Maternal_Decay
ENSDARG00000076228	Top_Maternal_Decay
ENSDARG00000076474	Top_Maternal_Decay
ENSDARG00000076509	Top_Maternal_Decay
ENSDARG00000076966	Top_Maternal_Decay
ENSDARG00000076966	Top_Maternal_Decay
ENSDARG00000077070	Top_Maternal_Decay
ENSDARG00000077070	Top_Maternal_Decay
ENSDARG00000077178	Top_Maternal_Decay
ENSDARG00000077178	Top_Maternal_Decay
ENSDARG00000077178	Top_Maternal_Decay
ENSDARG00000077178	Top_Maternal_Decay
ENSDARG00000077584	Top_Maternal_Decay
ENSDARG00000078326	Top_Maternal_Decay
ENSDARG00000078326	Top_Maternal_Decay
ENSDARG00000078326	Top_Maternal_Decay
ENSDARG00000078333	Top_Maternal_Decay
ENSDARG00000078333	Top_Maternal_Decay
ENSDARG00000078333	Top_Maternal_Decay
ENSDARG00000078435	Top_Maternal_Decay
ENSDARG00000078435	Top_Maternal_Decay
ENSDARG00000078435	Top_Maternal_Decay
ENSDARG00000078807	Top_Maternal_Decay
ENSDARG00000078807	Top_Maternal_Decay
ENSDARG00000079721	Top_Maternal_Decay
ENSDARG00000079721	Top_Maternal_Decay
ENSDARG00000086138	Top_Maternal_Decay
ENSDARG00000086333	Top_Maternal_Decay
ENSDARG00000086639	Top_Maternal_Decay
ENSDARG00000086864	Top_Maternal_Decay
ENSDARG00000087136	Top_Maternal_Decay
ENSDARG00000087187	Top_Maternal_Decay
ENSDARG00000087187	Top_Maternal_Decay
ENSDARG00000087187	Top_Maternal_Decay
ENSDARG00000087187	Top_Maternal_Decay
ENSDARG00000087187	Top_Maternal_Decay
ENSDARG00000087187	Top_Maternal_Decay
ENSDARG00000087393	Top_Maternal_Decay
ENSDARG00000087393	Top_Maternal_Decay
ENSDARG00000087393	Top_Maternal_Decay
ENSDARG00000087402	Top_Maternal_Decay
ENSDARG00000087402	Top_Maternal_Decay
ENSDARG00000087402	Top_Maternal_Decay
ENSDARG00000087402	Top_Maternal_Decay
ENSDARG00000087655	Top_Maternal_Decay
ENSDARG00000088639	Top_Maternal_Decay
ENSDARG00000088639	Top_Maternal_Decay
ENSDARG00000088639	Top_Maternal_Decay
ENSDARG00000088639	Top_Maternal_Decay
ENSDARG00000089268	Top_Maternal_Decay
ENSDARG00000089321	Top_Maternal_Decay
ENSDARG00000089469	Top_Maternal_Decay
ENSDARG00000089469	Top_Maternal_Decay
ENSDARG00000089858	Top_Maternal_Decay
ENSDARG00000089858	Top_Maternal_Decay
ENSDARG00000089858	Top_Maternal_Decay
ENSDARG00000089939	Top_Maternal_Decay
ENSDARG00000089999	Top_Maternal_Decay
ENSDARG00000090554	Top_Maternal_Decay
ENSDARG00000091001	Top_Maternal_Decay
ENSDARG00000091001	Top_Maternal_Decay
ENSDARG00000091001	Top_Maternal_Decay
ENSDARG00000091001	Top_Maternal_Decay
ENSDARG00000091001	Top_Maternal_Decay
ENSDARG00000091656	Top_Maternal_Decay
ENSDARG00000091754	Top_Maternal_Decay
ENSDARG00000091771	Top_Maternal_Decay
ENSDARG00000093176	Top_Maternal_Decay
ENSDARG00000093176	Top_Maternal_Decay
ENSDARG00000095174	Top_Maternal_Decay
ENSDARG00000096603	Top_Maternal_Decay
ENSDARG00000096603	Top_Maternal_Decay
ENSDARG00000096603	Top_Maternal_Decay
